SampleID,Location,Color,Astaxanthin,Lutein,ChlA,ChlB,BetaC,Pheophorbide,Pheophytin
2025-02-16-PC-algae1-pig-a,Antarctic Peninsula,,0,0,0,2.163180308,0,0.886216,7.576941846
2025-02-16-PC-algae1-pig-b,Antarctic Peninsula,,0,0,0,1.201601333,0,0.983096,7.772332667
2025-02-16-PC-algae1-pig-c,Antarctic Peninsula,,0,0,0,0.447304,0,1.06457725,4.2394375
2025-02-16-PC-algae2-pig-a,Antarctic Peninsula,,0,0,0,0,0,1.06851725,8.246573
2025-02-16-PC-algae2-pig-b,Antarctic Peninsula,,0,0,0,0,0,1.0197196,8.84295
2025-02-16-PC-algae2-pig-c,Antarctic Peninsula,,0,0,0,0,0,1.196779636,13.59582364
2025-02-16-PC-algae3-pig-a,Antarctic Peninsula,,0,0,0,1.098727619,0,1.241385333,12.80085486
2025-02-16-PC-algae3-pig-b,Antarctic Peninsula,,0,0,0,0.198366087,0,1.290373217,18.16090539
2025-02-16-PC-algae3-pig-c,Antarctic Peninsula,,0,0,0,0.145428,0,0.854094476,10.88313619
2025-02-19-SI-algae1-pig-a,Antarctic Peninsula,,61.33881333,2223.505359,2205.921986,3837.467345,1205.723581,193.2066373,1334.157124
2025-02-19-SI-algae1-pig-b,Antarctic Peninsula,,97.716236,1814.64087,2269.92219,4733.378931,935.3845531,274.60564,1387.661342
2025-02-19-SI-algae1-pig-c,Antarctic Peninsula,,71.9279175,1398.601855,1709.406966,3537.328476,686.4799835,188.723867,1124.716077
2025-02-19-SI-algae2-pig-a,Antarctic Peninsula,,20.4887785,242.0797042,169.2104267,338.360591,40.20720833,31.99481583,115.3806117
2025-02-19-SI-algae2-pig-b,Antarctic Peninsula,,11.76684359,105.7471752,93.80963324,183.0337033,15.7065069,18.8095371,68.99944221
2025-02-19-SI-algae2-pig-c,Antarctic Peninsula,,5.33549625,108.670674,90.7414605,155.6771045,0,18.34170625,55.4634195
2025-02-19-SI-algae3-pig-a,Antarctic Peninsula,,0,887.9211487,1225.474144,2848.750741,416.4140055,39.25983564,895.1312495
2025-02-19-SI-algae3-pig-b,Antarctic Peninsula,,0,763.2931189,946.4999286,1660.417693,244.4283131,21.687152,684.8563863
2025-02-19-SI-algae3-pig-c,Antarctic Peninsula,,0,1314.243519,1422.391014,3307.501888,501.3357473,46.40311106,1063.637057
2025-02-19-SI-algae4-pig-a,Antarctic Peninsula,,0,74.015754,75.01019533,122.163706,186.0948927,11.189998,51.75367867
2025-02-19-SI-algae4-pig-b,Antarctic Peninsula,,0.476241548,147.4912537,61.4397791,135.4640681,211.3008341,10.07008852,54.0763151
2025-02-19-SI-algae4-pig-c,Antarctic Peninsula,,0,76.0208792,40.7933144,114.0932164,117.8219768,8.387918,40.1980604
2025-02-19-SI-algae5-pig-a,Antarctic Peninsula,,0,0,30.027628,56.18811354,39.84019692,2.628213538,23.42460308
2025-02-19-SI-algae5-pig-b,Antarctic Peninsula,,0,0,11.82574246,18.67361785,0.056120308,4.349309846,44.28178492
2025-02-19-SI-algae5-pig-c,Antarctic Peninsula,,0,0,17.85162167,19.15535933,1.742428,1.568433,11.82832033
2025-02-19-SI-algae6-pig-a,Antarctic Peninsula,,0,387.4794713,804.2298563,1296.019728,506.342232,37.50573023,437.4471969
2025-02-19-SI-algae6-pig-b,Antarctic Peninsula,,0,411.1938309,700.9821914,1196.541498,490.5658961,38.52784006,417.8685431
2025-02-19-SI-algae6-pig-c,Antarctic Peninsula,,0,336.8012297,783.6080486,1293.103177,485.2532049,31.76010731,435.8252706
2025-02-19-SI-algae7-pig-a,Antarctic Peninsula,,0,2809.215336,3533.532661,8980.548454,4213.409866,394.467149,3250.730112
2025-02-19-SI-algae7-pig-b,Antarctic Peninsula,,0,2887.719735,3623.503929,6357.973132,4108.871713,455.5921316,3944.572237
2025-02-19-SI-algae7-pig-c,Antarctic Peninsula,,0,2655.385286,3303.023096,6556.143968,3728.118954,400.6828602,3906.24
2025-02-21-HI-algae1-pig-a,Antarctic Peninsula,,122.4571827,575.0691879,530.9408901,1209.946853,145.1482062,14.7449274,363.8240733
2025-02-21-HI-algae1-pig-b,Antarctic Peninsula,,148.8735016,616.2930562,544.1740276,1282.141156,176.991639,17.5119868,318.2553598
2025-02-21-HI-algae2-pig-a,Antarctic Peninsula,,10.15592356,1697.785149,3629.972043,7164.5395,984.9520347,186.0932142,1690.534929
2025-02-21-HI-algae2-pig-b,Antarctic Peninsula,,3.822113778,2742.735087,3920.602941,7282.775152,1129.699317,184.4252027,1727.995717
2025-02-21-HI-algae2-pig-c,Antarctic Peninsula,,6.015938667,2577.490629,3621.653616,7674.587052,1302.660922,161.5341084,1776.190087
2025-02-21-HI-algae3-pig-a,Antarctic Peninsula,,236.0998578,1035.118473,1071.529349,2972.192872,261.0744374,21.07416529,518.0922448
2025-02-21-HI-algae3-pig-b,Antarctic Peninsula,,323.559263,1304.076731,1078.243365,3864.614553,738.3172053,32.262772,639.3546557
2025-02-21-HI-algae3-pig-c,Antarctic Peninsula,,398.672508,1216.766052,2001.790841,4365.994836,0,49.96686969,1397.668449
2025-02-21-HI-algae4-pig-a,Antarctic Peninsula,,37.14179,1366.149881,1340.90991,3272.872404,521.710596,83.4989385,769.285621
2025-02-21-HI-algae4-pig-b,Antarctic Peninsula,,66.34592427,1427.425491,1677.489642,3991.917953,767.9815589,97.0876832,920.8977205
2025-02-21-HI-algae4-pig-c,Antarctic Peninsula,,20.62401745,1035.1455,1366.396241,2655.137341,499.158792,85.84888436,944.9345462
2025-02-21-HI-algae5-pig-a,Antarctic Peninsula,,0,718.4326599,1001.721361,1539.614829,198.1014617,20.408517,551.5564569
2025-02-21-HI-algae5-pig-b,Antarctic Peninsula,,0,652.6289626,1029.079536,1754.859268,240.6826966,30.88106257,455.4706314
2025-02-21-HI-algae5-pig-c,Antarctic Peninsula,,0,618.4495707,1169.560568,1848.434765,207.8263806,40.0084923,551.8332321
2025-02-21-HI-algae6-pig-a,Antarctic Peninsula,,64.03104175,529.0394145,510.1525143,1061.365634,161.1187998,14.817018,294.0446213
2025-02-21-HI-algae6-pig-b,Antarctic Peninsula,,82.97205419,498.8333868,415.8515301,908.8027991,225.6360883,15.35899948,342.0193945
2025-02-21-HI-algae6-pig-c,Antarctic Peninsula,,89.47172166,503.1375234,476.6947832,1126.659071,251.6978588,18.34054717,342.587372
2025-02-21-HI-algae7-pig-a,Antarctic Peninsula,,0,0,0,0,0,0.613723742,2.395425161
2025-02-21-HI-algae7-pig-b,Antarctic Peninsula,,0,0,0,0,0,0.842018824,10.96521506
2025-02-21-HI-algae7-pig-c,Antarctic Peninsula,,0,0,0,0.272286667,0,0.510748444,4.217189333
2025-02-21-HI-algae8-pig-a,Antarctic Peninsula,,84.944888,381.1636648,285.0669082,763.5712356,140.5103029,4.817104571,252.8149912
2025-02-21-HI-algae8-pig-b,Antarctic Peninsula,,78.7808946,429.0423734,341.4087848,834.3198588,130.0368916,5.628144,261.9906742
2025-02-21-HI-algae8-pig-c,Antarctic Peninsula,,106.6515349,395.1083476,354.8302164,952.7467792,157.4136423,5.803258095,311.9024114
2025-02-21-HI-algae9-pig-a,Antarctic Peninsula,,0,0,0,2.87887136,0,0.65249136,3.95864864
2025-02-21-HI-algae9-pig-b,Antarctic Peninsula,,0,0,0,0.7202752,0,1.1707484,8.968764
2025-02-21-HI-algae9-pig-c,Antarctic Peninsula,,0,0,0,0,0,1.2948904,5.056287733
2025-02-23-DP-algae1-pig-a,Antarctic Peninsula,,183.8210071,1410.055115,1344.766524,3006.808485,2107.286582,122.1140249,1044.632227
2025-02-23-DP-algae1-pig-b,Antarctic Peninsula,,192.9322793,1480.083918,1413.693037,2997.232077,1887.823522,91.836952,1011.629717
2025-02-23-DP-algae1-pig-c,Antarctic Peninsula,,164.6757013,1318.708058,1383.680216,2856.080727,1750.537741,88.824464,932.0734107
2025-02-23-DP-algae2-pig-a,Antarctic Peninsula,,45.85507429,337.9133577,245.1098514,541.7624714,640.4737697,25.507424,173.7456537
2025-02-23-DP-algae2-pig-b,Antarctic Peninsula,,65.55633371,284.4419646,234.8785611,576.3817091,661.94578,23.85249486,200.3757326
2025-02-23-DP-algae2-pig-c,Antarctic Peninsula,,71.09776431,304.8205298,234.1243108,509.1028363,586.5171631,30.86909169,154.9983452
2025-02-23-DP-algae3-pig-a,Antarctic Peninsula,,76.11971775,1575.523016,1107.828956,2472.700177,1294.581794,47.958591,966.724023
2025-02-23-DP-algae3-pig-b,Antarctic Peninsula,,63.23176329,1246.677466,982.014516,2352.939342,1070.802375,48.35384957,531.0850341
2025-02-23-DP-algae3-pig-c,Antarctic Peninsula,,74.02932046,1460.433858,1111.208639,2440.883853,1053.823344,48.08629154,594.7583838
2025-02-23-DP-algae4-pig-a,Antarctic Peninsula,,10.2825156,0,13.530278,18.0107352,11.9315616,1.8868792,17.0754228
2025-02-23-DP-algae4-pig-b,Antarctic Peninsula,,0,0,0,12.51825176,0.393857647,1.369268,9.224148471
2025-02-23-DP-algae4-pig-c,Antarctic Peninsula,,0,0,0,17.8393416,0,2.331256267,10.89116373
2025-02-23-DP-algae5-pig-a,Antarctic Peninsula,,462.0589608,2330.866483,1730.388182,4662.049171,2853.909574,154.2030376,916.7709544
2025-02-23-DP-algae5-pig-b,Antarctic Peninsula,,462.2023858,2847.725273,1958.464083,4929.226483,3019.203614,157.6775244,897.0146142
2025-02-23-DP-algae5-pig-c,Antarctic Peninsula,,406.82942,2479.047778,1913.27827,4683.306055,3327.469642,136.689841,898.562195
2025-02-23-DP-algae6-pig-a,Antarctic Peninsula,,370.3339943,2999.939786,3460.034577,7140.928834,2492.088803,198.3339383,1766.186014
2025-02-23-DP-algae6-pig-b,Antarctic Peninsula,,385.7825665,2754.950618,2642.134165,6218.431876,2224.623398,170.5410291,1571.038694
2025-02-23-DP-algae6-pig-c,Antarctic Peninsula,,423.462609,2806.178874,2971.204014,7075.864188,2439.290132,209.324489,1614.320292
2025-02-23-DP-algae7-pig-a,Antarctic Peninsula,,106.940014,1420.148078,1785.03328,2672.699974,2966.420194,84.17247,1070.445488
2025-02-23-DP-algae7-pig-b,Antarctic Peninsula,,181.015022,1592.87841,1278.532634,2747.829794,3258.039172,87.904486,1068.238734
2025-02-23-DP-algae7-pig-c,Antarctic Peninsula,,172.3432729,1594.875573,1497.7027,2467.285614,2572.74917,83.57667714,1021.511359
2025-02-23-DP-algae8-pig-a,Antarctic Peninsula,,807.7464,8401.12302,13243.95644,26513.13703,11833.92488,894.7330171,8293.585277
2025-02-23-DP-algae8-pig-b,Antarctic Peninsula,,474.0010367,7560.947517,10896.16961,19559.35347,9680.207063,667.88984,5940.422777
2025-02-23-DP-algae8-pig-c,Antarctic Peninsula,,659.08326,7126.189397,11677.12299,20267.70563,9304.689203,642.8169133,6359.133913
2025-02-23-DP-algae9-pig-a,Antarctic Peninsula,,0.272129143,0,0,6.944363429,0,0.996875143,13.25804
2025-02-23-DP-algae9-pig-b,Antarctic Peninsula,,0,0,0,1.734002286,0,0.848184571,7.794762571
2025-02-23-DP-algae9-pig-c,Antarctic Peninsula,,0,0,0,0,0,0.599699733,4.292826133
2025-02-23-DP-algae10-pig-a,Antarctic Peninsula,,245.339539,142.0148415,328.5812575,450.7290045,23.4423275,16.1118735,151.5480485
2025-02-23-DP-algae10-pig-b,Antarctic Peninsula,,239.5490142,135.8917594,306.9899634,368.057848,56.56287262,20.35595077,149.3375286
2025-02-23-DP-algae10-pig-c,Antarctic Peninsula,,280.348996,127.8692963,329.1652853,495.5511677,48.534217,20.65236433,188.800509
2025-02-23-DP-algae11-pig-a,Antarctic Peninsula,,110.5727779,542.2338733,1160.077483,2432.28533,409.6912573,172.522764,724.0634859
2025-02-23-DP-algae11-pig-b,Antarctic Peninsula,,110.8993288,648.0370712,1307.483426,2803.013136,530.7811596,242.9770516,821.3932196
2025-02-23-DP-algae11-pig-c,Antarctic Peninsula,,84.42968844,674.7697747,1507.324882,2889.61517,577.8092431,271.0551373,862.125748
2025-02-24-DA-algae1-pig-a,Antarctic Peninsula,,0,276.346617,793.257438,1419.584409,1048.103084,30.221146,668.09875
2025-02-24-DA-algae1-pig-b,Antarctic Peninsula,,0,479.7995015,1002.069346,2227.154828,1239.534568,39.49451077,1031.471928
2025-02-24-DA-algae1-pig-c,Antarctic Peninsula,,0,0,1093.206006,2224.00716,1318.533316,31.466795,945.7441075
2025-02-24-DA-algae2-pig-a,Antarctic Peninsula,,0,0,716.7020013,1325.733728,1157.293492,12.18406667,641.4211027
2025-02-24-DA-algae2-pig-b,Antarctic Peninsula,,134.4776553,1548.430945,523.22866,1508.076641,1050.421347,23.40945412,759.4199424
2025-02-24-DA-algae2-pig-c,Antarctic Peninsula,,266.4762507,0,705.833224,1559.632579,1320.760255,61.21467067,817.938748
2025-02-24-DA-algae3-pig-a,Antarctic Peninsula,,0,0,102.7285962,266.7911743,438.8315152,11.09469714,106.3078686
2025-02-24-DA-algae3-pig-b,Antarctic Peninsula,,0,0,0,188.9952883,328.5462633,15.181135,105.6180483
2025-02-24-DA-algae3-pig-c,Antarctic Peninsula,,0,0,172.3031412,232.8387518,474.6322341,11.89857176,116.2119918
2025-02-24-DA-algae4-pig-a,Antarctic Peninsula,,0,1418.560023,12518.38017,28508.26478,16341.90231,96.93417143,12407.01543
2025-02-24-DA-algae4-pig-b,Antarctic Peninsula,,3.5211075,3202.14609,11351.03852,27108.09573,15227.41963,237.8825125,12623.87102
2025-02-24-DA-algae4-pig-c,Antarctic Peninsula,,238.44011,12293.36385,13704.71621,30293.75176,16731.65299,1518.830037,11742.66111
2025-02-24-DA-algae5-pig-a,Antarctic Peninsula,,156.927225,2994.678663,2626.339055,5123.572243,5275.841698,203.02101,1824.518443
2025-02-24-DA-algae5-pig-b,Antarctic Peninsula,,384.95056,3901.800583,3720.316678,6921.807847,5877.130548,248.475095,2095.296965
2025-02-24-DA-algae5-pig-c,Antarctic Peninsula,,364.5515109,5029.412833,3327.590427,6672.366116,5262.118318,249.75606,2086.971869
2025-02-24-DA-algae6-pig-a,Antarctic Peninsula,,12.21864857,2201.393076,2907.877521,4567.616151,2062.882616,117.6717657,1580.455933
2025-02-24-DA-algae6-pig-b,Antarctic Peninsula,,10.982994,2064.79285,2945.476081,4936.106088,2164.682029,177.738872,1383.393112
2025-02-24-DA-algae6-pig-c,Antarctic Peninsula,,0,2196.29344,2793.19687,4647.560604,2693.22285,124.66747,1553.96107
2025-02-24-DA-algae7-pig-a,Antarctic Peninsula,,0,0,1.6985945,16.67504925,5.21754775,1.64601625,11.1592365
2025-02-24-DA-algae7-pig-b,Antarctic Peninsula,,0,0,0,17.254204,5.902274133,1.410889067,12.05596773
2025-02-24-DA-algae7-pig-c,Antarctic Peninsula,,0,0,0,26.77887015,2.473182769,1.749282462,12.13624154
2025-02-25-OH-algae1-pig-a,Antarctic Peninsula,,33.11204471,2782.961887,3429.500949,5546.658771,2299.587751,96.79266824,1789.081156
2025-02-25-OH-algae1-pig-b,Antarctic Peninsula,,47.34814625,2441.535746,3801.307778,6502.522945,3041.15717,114.9324775,2102.465825
2025-02-25-OH-algae1-pig-c,Antarctic Peninsula,,29.37761833,3599.714287,3803.702118,6273.162892,3099.240293,124.1201983,2033.631025
2025-02-25-OH-algae2-pig-a,Antarctic Peninsula,,55.53385818,2899.068242,3666.120915,6401.270724,2241.108735,162.9532164,2082.036384
2025-02-25-OH-algae2-pig-b,Antarctic Peninsula,,24.79043818,2998.684536,4030.857184,6517.914942,2307.484795,168.7202091,2140.446555
2025-02-25-OH-algae2-pig-c,Antarctic Peninsula,,0,2935.040251,4285.044984,6380.480578,2705.540711,166.0310927,2072.353276
2025-02-25-OH-algae3-pig-a,Antarctic Peninsula,,127.1246733,0,70.98883467,218.2331973,73.63282533,16.76410267,91.21902267
2025-02-25-OH-algae3-pig-b,Antarctic Peninsula,,121.79509,0,116.915987,254.060716,79.338826,15.512096,95.261932
2025-02-25-OH-algae3-pig-c,Antarctic Peninsula,,126.439092,0,175.892573,239.814517,119.494982,15.667989,95.635136
2025-02-25-OH-algae4-pig-a,Antarctic Peninsula,,0,0,0,4.247525333,0,0.7263672,5.761998133
2025-02-25-OH-algae4-pig-b,Antarctic Peninsula,,0,0,0,5.212501895,0,0.767159158,5.780069263
2025-02-25-OH-algae4-pig-c,Antarctic Peninsula,,0,0,0,8.190259667,0,1.025144333,10.88733467
2025-03-04-PI-algae1-pig-a,Antarctic Peninsula,,389.2671743,2230.877076,2595.873414,4269.716266,2661.82118,177.00831,1264.009344
2025-03-04-PI-algae1-pig-b,Antarctic Peninsula,,368.4097418,2816.691949,2656.296798,4008.43902,2670.443364,190.3339964,1242.313229
2025-03-04-PI-algae1-pig-c,Antarctic Peninsula,,425.5250233,2510.607262,2640.754055,4656.266407,2837.056442,201.188495,1403.86486
2025-03-04-PI-algae2-pig-a,Antarctic Peninsula,,0,2571.056314,2039.865127,5257.105841,2084.86976,135.35705,1637.869437
2025-03-04-PI-algae2-pig-b,Antarctic Peninsula,,0,2407.497706,1802.464119,4910.901402,1738.674602,120.417526,1471.163219
2025-03-04-PI-algae2-pig-c,Antarctic Peninsula,,0,2277.565776,1916.251373,5084.505979,1574.169134,109.4762329,1496.690172
2025-03-04-PI-algae3-pig-a,Antarctic Peninsula,,438.43338,6582.727566,5774.279214,10431.42981,5745.878183,469.7803971,4707.953143
2025-03-04-PI-algae3-pig-b,Antarctic Peninsula,,400.0020086,5552.687126,5234.552617,9071.67366,4988.291143,427.34384,3971.657606
2025-03-04-PI-algae3-pig-c,Antarctic Peninsula,,630.3057925,7094.741918,6468.310005,10544.28155,5195.96537,550.4104625,3821.246735
2025-03-04-PI-algae4-pig-a,Antarctic Peninsula,,0,0,20.940548,33.324549,0.441212667,3.284038333,19.70832
2025-03-04-PI-algae4-pig-b,Antarctic Peninsula,,0,0,14.80666114,36.28662057,0,4.348981143,19.74333371
2025-03-04-PI-algae4-pig-c,Antarctic Peninsula,,0,16.192614,41.57178857,47.431492,3.023504571,6.054283714,22.87933829
2025-03-04-PI-algae5-pig-a,Antarctic Peninsula,,167.5434693,588.8472353,548.087796,1140.644163,599.4043307,67.70028933,425.149166
2025-03-04-PI-algae5-pig-b,Antarctic Peninsula,,166.255542,764.9101173,352.26258,993.7559473,764.6483147,48.41163667,393.3729507
2025-03-04-PI-algae5-pig-c,Antarctic Peninsula,,183.9434128,564.0705848,342.6710944,998.9627576,671.2714768,64.5634248,412.95848
2025-03-04-PI-algae6-pig-a,Antarctic Peninsula,,203.7910752,1449.432898,1568.575319,3126.121731,726.7520464,105.708156,1273.102586
2025-03-04-PI-algae6-pig-b,Antarctic Peninsula,,273.761994,1857.392952,1658.495813,3372.762048,821.014521,99.943303,1428.406049
2025-03-04-PI-algae6-pig-c,Antarctic Peninsula,,246.4952888,1797.770958,1539.364482,3122.46072,745.7853448,109.1264984,1306.879542
2025-03-05-DP-algae1-pig-a,Antarctic Peninsula,,18.34647877,97.71632123,97.32439815,203.3263809,243.1003637,15.61366831,87.17537662
2025-03-05-DP-algae1-pig-b,Antarctic Peninsula,,36.01176923,138.1217194,138.5907052,238.4985502,272.1356025,20.35187385,104.2526812
2025-03-05-DP-algae1-pig-c,Antarctic Peninsula,,35.12092693,225.5262464,97.7424912,238.5911349,348.3713589,13.79257653,91.07877387
2025-03-05-DP-algae2-pig-a,Antarctic Peninsula,,736.880204,12880.90328,10079.17471,22801.98638,11403.63556,791.440092,6363.9094
2025-03-05-DP-algae2-pig-b,Antarctic Peninsula,,1242.872355,18449.01448,12641.7131,29412.4829,15002.32731,1046.232445,8145.922125
2025-03-05-DP-algae2-pig-c,Antarctic Peninsula,,1006.40972,13447.5839,10879.03584,24227.49495,13359.07382,769.201924,7123.714776
2025-03-05-DP-algae3-pig-a,Antarctic Peninsula,,25.10763556,3536.460398,3811.998038,6194.636371,2489.842009,159.9851556,2286.43378
2025-03-05-DP-algae3-pig-b,Antarctic Peninsula,,78.135214,4234.49459,4692.393432,7291.612536,2769.779566,178.02927,2692.693358
2025-03-05-DP-algae3-pig-c,Antarctic Peninsula,,34.80768889,3496.835153,4075.851302,6554.266544,2134.412833,166.8262578,2286.091664
2025-03-05-DP-algae4-pig-a,Antarctic Peninsula,,658.8651044,4931.983158,4457.191051,12430.23358,7863.702809,406.2549089,3742.117571
2025-03-05-DP-algae4-pig-b,Antarctic Peninsula,,623.19976,4946.201158,5140.64016,11277.4477,7631.95586,379.9195975,4189.57148
2025-03-05-DP-algae4-pig-c,Antarctic Peninsula,,491.7605867,5030.865496,4647.976413,10921.17259,7480.390778,393.3543644,3650.048562
2025-03-05-DP-algae5-pig-a,Antarctic Peninsula,,0,0,0,1.9038465,0,0.8156535,5.39023025
2025-03-05-DP-algae5-pig-b,Antarctic Peninsula,,0,0,0,2.771387111,0,1.1201,8.781237778
2025-03-05-DP-algae5-pig-c,Antarctic Peninsula,,0,0,0,1.859496333,3.885766333,1.111412667,6.678708333
2025-03-05-DP-algae6-pig-a,Antarctic Peninsula,,6.126764,3813.230044,3235.397748,7062.30365,3896.832022,243.66114,2605.246254
2025-03-05-DP-algae6-pig-b,Antarctic Peninsula,,5.933426667,3137.421703,2796.569992,6108.533632,2851.454612,232.311035,2318.98259
2025-03-05-DP-algae6-pig-c,Antarctic Peninsula,,1.58601,3103.029012,3151.894237,7447.299975,2831.90501,258.9898817,2398.6587
2025-03-05-DP-algae7-pig-a,Antarctic Peninsula,,60.0068064,0,161.9195808,331.438512,92.00892,20.7455032,130.8192928
2025-03-05-DP-algae7-pig-b,Antarctic Peninsula,,155.4252658,280.891128,238.3373884,613.2829298,263.9212036,27.03326044,222.7813938
2025-03-05-DP-algae7-pig-c,Antarctic Peninsula,,139.4074269,56.03066114,212.1727189,488.2791051,245.4836171,21.27148514,181.7026914
2025-03-06-OH-algae1-pig-a,Antarctic Peninsula,,0,2166.503744,2659.380527,5691.243204,2367.026944,111.7335133,1952.430604
2025-03-06-OH-algae1-pig-b,Antarctic Peninsula,,0,1864.13675,2483.441733,4609.08703,2249.656538,97.956965,1767.199675
2025-03-06-OH-algae1-pig-c,Antarctic Peninsula,,0,1710.270102,1719.522693,3388.223656,1735.502118,77.37987636,1303.953638
2025-03-06-OH-algae2-pig-a,Antarctic Peninsula,,24.13341333,1810.057362,1827.738395,3625.579613,2453.242802,115.0546083,1296.899965
2025-03-06-OH-algae2-pig-b,Antarctic Peninsula,,22.63142111,1593.431181,1666.967891,3332.950258,2420.688294,97.64611667,1157.012269
2025-03-06-OH-algae2-pig-c,Antarctic Peninsula,,14.55839,1893.655717,1789.420973,3666.643913,2731.582673,108.76725,1349.431482
2025-03-06-OH-algae3-pig-a,Antarctic Peninsula,,42.04262182,851.8297291,812.0474629,1602.703699,997.3414375,67.72775527,625.5725611
2025-03-06-OH-algae3-pig-b,Antarctic Peninsula,,22.45222473,802.9647127,651.6579378,1208.524134,723.4212124,52.75561018,591.446272
